id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,availability_365
692807914756117019,Relax in Style by Washington Park - Free Parking,67337944,Rabia,ELEVENTH WARD,42.6623,-73.777,Entire home/apt,104.0,31,104,118
703551649845095095,Cozy Albany Home,3650672,Zuhair,THIRTEENTH WARD,42.67075,-73.79704,Entire home/apt,162.0,3,3,152
704544922160063127,Cozy 1 Bedroom Apt in  desirable Albany locale,58406953,Nicholas,THIRTEENTH WARD,42.67485,-73.79867,Entire home/apt,82.0,2,2,80
705660262559003663,Luxurious one bedroom with off-street parking,353498132,Michael,SECOND WARD,42.64577,-73.7583,Entire home/apt,109.0,13,7,282
717373135846408345,Centrally located 2 bed w/ off street parking,232967878,Diana,THIRTEENTH WARD,42.67261,-73.79262,Entire home/apt,142.0,1,63,63
723956857052424266,"Modern home, King Bed 4 bed 2bath, Crib, parking",10279606,Noriyuki,NINTH WARD,42.65691,-73.78389,Entire home/apt,163.0,1,222,217
724566770267420045,Cozy Greenwood Flat (1 BDR Apartment in Albany),360287870,Mela,SIXTH WARD,42.6513719,-73.7673156,Entire home/apt,101.0,2,61,319
733964865705013296,Historic 1 bed/ 1 bath,502037254,Andrew,SIXTH WARD,42.65035,-73.76549,Entire home/apt,68.0,14,1,285
735879623743921266,Modern & Homey 1BD/1BA Fl 1 Apt @ Downtown Albany,44434571,Earl,THIRD WARD,42.64564,-73.75261,Entire home/apt,75.0,1,75,334
737574278276037589,4 bed all on one floor,232967878,Diana,TENTH WARD,42.66069,-73.78555,Entire home/apt,157.0,1,46,38
739722503092755616,Adirondack Suite #1,98744672,Bela,NINTH WARD,42.6543178,-73.7818222,Private room,45.0,2,36,287
743600140734706394,Cozy apartment 2min walk to Albanymed office space,484673863,Michaela,NINTH WARD,42.65569,-73.77685,Entire home/apt,82.0,2,16,315
744430701454304507,"1 Bedroom on Lincoln Park, near Lark and Downtown",65414985,James,SEVENTH WARD,42.6496,-73.76792,Entire home/apt,77.0,2,29,328
750748704706045644,Clean Escape- Centrally located- Self Check-In,255839958,Kira,SEVENTH WARD,42.64284,-73.77997,Entire home/apt,106.0,1,17,310
751421033442627559,Modern- Cozy Center City 2 Bedroom Apartment Style,486073806,Keneisha,FIFTH WARD,42.66648,-73.76831,Entire home/apt,115.0,2,27,355
752118894541630543,Cozy luxury brownstone w/ parking & yard,258664571,Vorakij,SECOND WARD,42.64439384900326,-73.75975701534425,Entire home/apt,125.0,2,83,327
752337379205662422,Penthouse Brownstone w/ luxury amenities,258664571,Vorakij,SECOND WARD,42.6444412,-73.75971410000001,Entire home/apt,113.0,2,86,350
756752556396798800,Private Room in the Center of the Albany,69729286,Musab,SIXTH WARD,42.65259,-73.76732,Private room,47.0,5,17,209
