id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1344295935213350424,Business Travelers Retreat,42708277,Rodney,,FOURTH WARD,42.675383658286634,-73.75011739653225,Entire home/apt,74,1,0,,,6,46,0,
1350831900774924999,Cozy Home in Heart of Albany,677372979,Celia,,TWELFTH WARD,42.68507834404223,-73.79764015056868,Entire home/apt,126,7,2,2025-04-20,0.92,1,195,2,
1350872245042831459,Capital City Escape,10279606,Noriyuki,,FIFTEENTH WARD,42.67003713546928,-73.82302715231661,Entire home/apt,159,1,14,2025-04-21,5.53,3,326,14,
1355026548513364492,Traveler’s Haven!,413566290,Victoria,,NINTH WARD,42.655400645597446,-73.79756712300808,Private room,57,2,1,2025-04-13,1,2,73,1,
1358581858384454275,Two bedroom apartment in Albany,32379616,Fabiola,,THIRD WARD,42.66526304906058,-73.76716070107956,Entire home/apt,76,28,0,,,5,335,0,
1363867065584533091,A piece of mind,650062372,Mataiya,,THIRTEENTH WARD,42.66891,-73.79096,Entire home/apt,166,1,0,,,1,0,0,
1365428503448527322,"Modest (Non Smoking) 2 bed/1 Bath, 2nd Floor Apt",664328482,Oluyinka,,SECOND WARD,42.6436654,-73.7536006,Entire home/apt,103,1,16,2025-04-30,7.87,1,335,16,
1366933239765507591,Vacation Home in Albany,680411288,Stephanie,,EIGHTH WARD,42.64533014600323,-73.789131045637,Entire home/apt,257,1,7,2025-04-27,4.57,1,296,7,
1369127908322228929,Capital Comfort Stay,584109093,Cecilia,,FOURTH WARD,42.66159372265361,-73.75439956511829,Entire home/apt,112,1,2,2025-03-23,1.28,1,354,2,
1369768924474303403,Near Hospitals: Home w/ Yard in Albany!,121680792,Evolve,,FIRST WARD,42.63908453510391,-73.77307933512895,Entire home/apt,132,2,0,,,6,340,0,
1371626040166892504,Central cozy quiet 4 bedroom w/King bed,20536619,Emily,,TENTH WARD,42.66315402479468,-73.78910123743358,Entire home/apt,185,14,0,,,10,190,0,
1371829070623409671,"Walk to Albany Med, MVP Arena, Washington Park",265861488,Vander,,SIXTH WARD,42.65040602684423,-73.76433185078635,Entire home/apt,72,1,5,2025-04-27,5,1,293,5,
